,NO.1_8.775 m,NO.2_11.938 m,NO.3_25.605 m,NO.4_41.577 m,NO.5_50.306 m,NO.6_67.395 m,NO.7_86.914 m,NO.8_117.442 m,NO.9_122.818 m,NO.10_156.59 m,NO.11_161.876 m,NO.12_172.889 m,NO.13_177.694 m,NO.14_185.386 m,NO.15_198.421 m,NO.16_220.335 m,NO.17_228.408 m,NO.18_232.852 m,NO.19_242.032 m,NO.20_252.265 m,NO.21_272.728 m,NO.22_283.383 m,NO.23_288.7 m,NO.24_294.698 m,NO.25_296.425 m
2006-02-23 00:00:00,8.774,11.937,25.605,41.574,50.303,67.384,86.898,117.407,122.78,156.54,161.825,172.838,177.639,185.318,198.347,220.26,228.34,232.762,241.936,252.151,272.579,283.21,288.526,294.518,
2006-03-24 00:00:00,8.774,11.937,25.605,41.574,50.301,67.382,86.895,117.405,122.779,156.538,161.821,172.835,177.635,185.315,198.345,220.258,228.327,232.757,241.933,252.146,272.572,283.205,288.517,294.51,
2006-04-28 00:00:00,8.775,11.936,25.606,41.575,50.302,67.384,86.897,117.409,122.786,156.542,161.826,172.84,177.64,185.318,198.349,220.261,228.33,232.762,241.936,252.15,272.574,283.208,288.52,294.511,
2006-05-24 00:00:00,8.778,11.94,25.61,41.577,50.304,67.387,86.899,117.411,122.787,156.543,161.827,172.842,177.643,185.319,198.349,220.263,228.331,232.761,241.937,252.149,272.572,283.205,288.517,294.51,
2006-06-22 00:00:00,8.777,11.94,25.609,41.578,50.305,67.391,86.904,117.416,122.79,156.549,161.831,172.845,177.648,185.325,198.357,220.269,228.337,232.769,241.941,252.155,272.577,283.211,288.524,294.514,
2006-07-21 00:00:00,8.78,11.941,25.612,41.583,50.31,67.395,86.904,117.418,122.793,156.553,161.837,172.849,177.652,185.33,198.36,220.272,228.339,232.769,241.944,252.156,272.577,283.215,288.529,294.52,
2006-08-31 00:00:00,8.778,11.943,25.611,41.581,50.308,67.393,86.905,117.42,122.791,156.551,161.835,172.849,177.653,185.326,198.357,220.269,228.338,232.77,241.945,252.155,272.575,283.209,288.522,294.513,
2006-09-20 00:00:00,8.776,11.94,25.609,41.579,50.306,67.393,86.905,117.418,122.79,156.552,161.833,172.847,177.651,185.329,198.357,220.271,228.336,232.771,241.945,252.155,272.573,283.208,288.52,294.513,
2006-10-26 00:00:00,8.777,11.942,25.61,41.58,50.306,67.39,86.905,117.414,122.786,156.546,161.827,172.842,177.644,185.324,198.349,220.264,228.329,232.761,241.935,252.146,272.565,283.199,288.509,294.501,
2006-11-22 00:00:00,8.777,11.938,25.61,41.577,50.305,67.388,86.902,117.411,122.787,156.543,161.828,172.84,177.643,185.32,198.35,220.262,228.33,232.758,241.934,252.147,272.562,283.195,288.505,294.497,
2006-12-21 00:00:00,8.777,11.935,25.608,41.577,50.305,67.389,86.901,117.414,122.79,156.546,161.832,172.844,177.646,185.323,198.353,220.266,228.334,232.761,241.938,252.149,272.566,283.2,288.51,294.502,
2007-01-25 00:00:00,8.778,11.939,25.609,41.579,50.306,67.391,86.904,117.415,122.79,156.548,161.832,172.845,177.648,185.325,198.355,220.267,228.335,232.764,241.939,252.149,272.565,283.199,288.51,294.502,
2007-02-15 00:00:00,8.777,11.938,25.609,41.579,50.305,67.387,86.9,117.411,122.785,156.541,161.824,172.837,177.64,185.314,198.343,220.255,228.323,232.751,241.926,252.138,272.553,283.186,288.496,294.487,
2007-03-29 00:00:00,8.779,11.94,25.611,41.579,50.304,67.385,86.896,117.407,122.782,156.535,161.82,172.833,177.634,185.306,198.337,220.246,228.316,232.745,241.918,252.129,272.542,283.173,288.484,294.475,
2007-04-26 00:00:00,8.778,11.939,25.61,41.577,50.304,67.386,86.895,117.406,122.781,156.535,161.819,172.831,177.635,185.305,198.337,220.246,228.316,232.745,241.917,252.128,272.542,283.171,288.483,294.473,
2007-05-24 00:00:00,8.777,11.938,25.608,41.574,50.303,67.383,86.893,117.402,122.778,156.53,161.816,172.826,177.63,185.303,198.331,220.242,228.312,232.739,241.911,252.122,272.534,283.162,288.475,294.464,
2007-06-22 00:00:00,8.778,11.939,25.61,41.577,50.306,67.385,86.895,117.404,122.78,156.533,161.818,172.829,177.633,185.305,198.336,220.245,228.315,232.74,241.914,252.124,272.533,283.164,288.474,294.464,
2007-07-18 00:00:00,8.778,11.938,25.61,41.577,50.305,67.385,86.892,117.403,122.779,156.534,161.816,172.83,177.632,185.303,198.335,220.243,228.313,232.739,241.913,252.124,272.533,283.163,288.473,294.462,
2007-08-23 00:00:00,8.777,11.94,25.61,41.579,50.304,67.388,86.897,117.407,122.78,156.537,161.818,172.833,177.636,185.31,198.339,220.248,228.317,232.745,241.917,252.126,272.537,283.165,288.473,294.465,
2007-09-13 00:00:00,8.778,11.94,25.611,41.578,50.306,67.389,86.9,117.408,122.783,156.538,161.821,172.836,177.639,185.311,198.34,220.251,228.318,232.747,241.919,252.128,272.537,283.168,288.477,294.467,
2007-10-18 00:00:00,8.78,11.938,25.612,41.58,50.308,67.389,86.901,117.409,122.785,156.538,161.823,172.837,177.639,185.312,198.341,220.253,228.321,232.748,241.919,252.128,272.536,283.169,288.478,294.466,
2007-11-13 00:00:00,8.777,11.939,25.61,41.578,50.305,67.387,86.898,117.407,122.78,156.535,161.817,172.833,177.633,185.308,198.335,220.246,228.314,232.741,241.914,252.124,272.533,283.162,288.471,294.459,
2007-12-10 00:00:00,8.778,11.938,25.608,41.577,50.305,67.386,86.898,117.408,122.782,156.537,161.819,172.835,177.635,185.308,198.337,220.248,228.317,232.744,241.917,252.126,272.534,283.163,288.472,294.461,
2008-01-16 00:00:00,8.776,11.937,25.606,41.575,50.303,67.384,86.895,117.405,122.779,156.534,161.817,172.832,177.635,185.305,198.336,220.248,228.315,232.74,241.913,252.122,272.529,283.161,288.467,294.459,
2008-02-19 00:00:00,8.775,11.937,25.607,41.574,50.301,67.38,86.893,117.4,122.774,156.527,161.808,172.823,177.625,185.297,198.325,220.236,228.304,232.73,241.903,252.109,272.514,283.146,288.453,294.444,
2008-03-13 00:00:00,8.775,11.936,25.605,41.574,50.299,67.379,86.889,117.396,122.767,156.519,161.801,172.815,177.615,185.288,198.317,220.227,228.295,232.722,241.894,252.1,272.505,283.135,288.444,294.435,
2008-04-16 00:00:00,8.775,11.936,25.605,41.574,50.298,67.378,86.887,117.391,122.76,156.516,161.785,172.808,177.606,185.286,198.31,220.222,228.288,232.716,241.887,252.094,272.497,283.124,288.434,294.424,
2008-05-20 00:00:00,8.775,11.936,25.605,41.575,50.298,67.376,86.884,117.387,122.758,156.509,161.786,172.804,177.604,185.278,198.304,220.215,228.281,232.707,241.878,252.084,272.486,283.113,288.423,294.414,
2008-06-24 00:00:00,8.776,11.937,25.605,41.575,50.298,67.378,86.887,117.393,122.764,156.517,161.797,172.814,177.61,185.289,198.313,220.225,228.29,232.718,241.887,252.091,272.496,283.119,288.433,294.425,
2008-07-16 00:00:00,8.775,11.935,25.605,41.575,50.298,67.38,86.89,117.395,122.765,156.52,161.798,172.814,177.614,185.289,198.315,220.228,228.294,232.719,241.887,252.096,272.498,283.124,288.433,294.423,
2008-08-21 00:00:00,8.775,11.937,25.608,41.575,50.301,67.382,86.89,117.395,122.769,156.522,161.802,172.818,177.618,185.291,198.319,220.229,228.296,232.721,241.89,252.098,272.497,283.126,288.434,294.434,
2008-09-19 00:00:00,8.776,11.937,25.608,41.577,50.303,67.384,86.893,117.399,122.772,156.526,161.807,172.823,177.621,185.293,198.322,220.232,228.3,232.727,241.896,252.102,272.502,283.128,288.438,294.428,
2008-10-08 00:00:00,8.777,11.936,25.608,41.577,50.305,67.385,86.896,117.401,122.774,156.528,161.808,172.825,177.624,185.297,198.324,220.237,228.302,232.728,241.899,252.103,272.505,283.128,288.44,294.428,
2008-11-05 00:00:00,8.776,11.937,25.606,41.577,50.304,67.385,86.894,117.4,122.771,156.526,161.804,172.821,177.619,185.294,198.319,220.235,228.298,232.724,241.895,252.1,272.502,283.124,288.437,294.425,
2008-12-04 00:00:00,8.775,11.938,25.605,41.576,50.302,67.385,86.892,117.4,122.769,156.524,161.804,172.82,177.619,185.295,198.32,220.232,228.3,232.725,241.895,252.101,272.501,283.125,288.436,294.424,
2009-01-14 00:00:00,8.775,11.936,25.605,41.575,50.301,67.38,86.889,117.396,122.769,156.521,161.801,172.817,177.617,185.291,198.316,220.226,228.296,232.719,241.888,252.096,272.495,283.118,288.429,294.417,
2009-02-05 00:00:00,8.774,11.935,25.605,41.573,50.299,67.377,86.885,117.39,122.765,156.514,161.795,172.81,177.61,185.285,198.309,220.218,228.286,232.71,241.878,252.086,272.484,283.108,288.417,294.407,
2009-03-04 00:00:00,8.775,11.936,25.606,41.574,50.298,67.376,86.883,117.386,122.761,156.508,161.789,172.803,177.602,185.273,198.299,220.21,228.279,232.703,241.872,252.074,272.471,283.097,288.407,294.396,
